card_id,card_name,card_type,rarity,base_weight,min_wave,max_wave,target_attr,effect_value,duration_wave,target_weapon,upgrade_attr,negative_attr,negative_value,hero_affinity,build_tags,prerequisite
buff_power_01,Power Training I,permanent_buff,common,110,1,,power,0.06,,,,,,warrior:1.1;berserker:1.2;default:1.0,damage,
buff_power_02,Power Training II,permanent_buff,uncommon,75,8,,power,0.10,,,,,,warrior:1.1;berserker:1.2;mage:1.1;default:1.0,damage,
buff_power_03,Titan Strength,permanent_buff,rare,30,18,,power,0.20,,,,,,berserker:1.3;archmage:1.2;default:0.9,damage;overpowered,
buff_defense_01,Iron Skin I,permanent_buff,common,105,1,,defense,0.08,,,,,,guardian:1.3;warrior:1.2;default:1.0,defense,
buff_defense_02,Iron Skin II,permanent_buff,uncommon,70,8,,defense,0.14,,,,,,guardian:1.3;warrior:1.2;default:1.0,defense;sustain,
buff_luck_01,Lucky Charm I,permanent_buff,common,90,1,,luck,0.08,,,,,,ranger:1.2;oracle:1.3;alchemist:1.2;default:1.0,luck,
buff_luck_02,Lucky Charm II,permanent_buff,uncommon,60,10,,luck,0.15,,,,,,oracle:1.4;alchemist:1.3;default:0.9,luck,
buff_speed_01,Swift Boots I,permanent_buff,common,95,1,,move_speed,0.08,,,,,,ranger:1.2;assassin:1.3;default:1.0,speed,
buff_speed_02,Swift Boots II,permanent_buff,uncommon,55,12,,move_speed,0.16,,,,,,ranger:1.2;assassin:1.3;default:0.9,speed,
buff_heal_01,Blessed Pulse I,permanent_buff,common,75,1,,heal_power,0.10,,,,,,cleric:1.4;oracle:1.4;default:0.8,heal,
buff_heal_02,Blessed Pulse II,permanent_buff,rare,35,15,,heal_power,0.22,,,,,,cleric:1.4;oracle:1.5;default:0.7,heal;sustain,
instant_heal_01,Emergency Heal I,instant_effect,common,100,1,,hp,0.22,1,,,,,cleric:0.9;oracle:0.9;default:1.0,sustain,
instant_heal_02,Emergency Heal II,instant_effect,uncommon,70,10,,hp,0.38,1,,,,,cleric:0.9;oracle:0.9;default:1.0,sustain,
instant_shield_01,Flash Barrier,instant_effect,common,80,1,,shield,0.20,2,,,,,guardian:1.2;engineer:1.2;default:1.0,defense;sustain,
instant_rage_01,Battle Surge,instant_effect,uncommon,65,8,,power,0.25,2,,,,,berserker:1.3;assassin:1.1;default:0.9,risk_damage,
weapon_staff_01,Arcane Staff,new_weapon,rare,45,1,,,1.00,,staff,,,,mage:1.4;archmage:1.6;default:0.8,staff;magic;aoe,
